NA,"TP","TN","FP","FN","Precision","Recall","F-Score"
"Trainning metrics","513","3147","25","89","0.953531598513011","0.852159468438538","0.9"
"Fold","46","310","7","14","0.867924528301887","0.766666666666667","0.814159292035398"
"Fold","47","307","10","13","0.824561403508772","0.783333333333333","0.803418803418803"
"Fold","49","312","5","11","0.907407407407407","0.816666666666667","0.859649122807018"
"Fold","51","311","6","10","0.894736842105263","0.836065573770492","0.864406779661017"
"Fold","49","313","4","11","0.924528301886792","0.816666666666667","0.867256637168142"
"Fold","50","310","7","10","0.87719298245614","0.833333333333333","0.854700854700855"
"Fold","40","316","1","20","0.975609756097561","0.666666666666667","0.792079207920792"
"Fold","52","314","4","8","0.928571428571429","0.866666666666667","0.896551724137931"
"Fold","49","313","5","11","0.907407407407407","0.816666666666667","0.859649122807018"
"Fold","48","312","5","13","0.905660377358491","0.786885245901639","0.842105263157895"
"CV Avg","48.1","311.8","5.4","12.1","0.901360043510115","0.79896174863388","0.845397680781487"
"Test","242","2859","66","163","0.785714285714286","0.597530864197531","0.678821879382889"
